1909,Australasian Championships,580,australian-open,Perth Australia,1909.10.16,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1909/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1909-580
1910,Australasian Championships,580,australian-open,Adelaide Australia,1910.03.15,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1910/results,Rodney Heath,/en/players/rodney-heath/he57/overview,rodney-heath,he57,1910-580
1910,Wimbledon,540,wimbledon,London Great Britain,1910.06.20,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1910/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1910-540
1910,US Championships,560,us-open,Newport United States,1910.08.15,256,Outdoor,Grass,/en/scores/archive/us-open/560/1910/results,Thomas Bundy,/en/players/thomas-bundy/br63/overview,thomas-bundy,br63,1910-560
1911,Wimbledon,540,wimbledon,London Great Britain,1911.06.26,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1911/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1911-540
1911,US Championships,560,us-open,Newport United States,1911.08.21,256,Outdoor,Grass,/en/scores/archive/us-open/560/1911/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,1911-560
1911,Australasian Championships,580,australian-open,Melbourne Australia,1911.11.20,32,Outdoor,Grass,/en/scores/archive/australian-open/580/1911/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,1911-580
1912,Wimbledon,540,wimbledon,London Great Britain,1912.06.24,128,Outdoor,Grass,/en/scores/archive/wimbledon/540/1912/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1912-540
1912,US Championships,560,us-open,Newport United States,1912.08.19,256,Outdoor,Grass,/en/scores/archive/us-open/560/1912/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,1912-560
1912,Australasian Championships,580,australian-open,Hastings New Zealand,1912.12.30,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1912/results,James Cecile Parke,/en/players/james-cecile-parke/pj92/overview,james-cecile-parke,pj92,1912-580
1913,Wimbledon,540,wimbledon,London Great Britain,1913.06.23,129,Outdoor,Grass,/en/scores/archive/wimbledon/540/1913/results,Tony Wilding,/en/players/tony-wilding/w972/overview,tony-wilding,w972,1913-540
1913,US Championships,560,us-open,Newport Rhode Island United States,1913.08.18,256,Outdoor,Grass,/en/scores/archive/us-open/560/1913/results,Maurice McLoughlin,/en/players/maurice-mcloughlin/mt38/overview,maurice-mcloughlin,mt38,1913-560
1913,Australasian Championships,580,australian-open,Perth Australia,1913.11.01,16,Outdoor,Grass,/en/scores/archive/australian-open/580/1913/results,Ernest Parker,/en/players/ernest-parker/pk22/overview,ernest-parker,pk22,1913-580
1914,Wimbledon,540,wimbledon,London Great Britain,1914.06.22,129,Outdoor,Grass,/en/scores/archive/wimbledon/540/1914/results,Norman Brookes,/en/players/norman-brookes/bq52/overview,norman-brookes,bq52,1914-540
1914,US Championships,560,us-open,Newport Rhode Island United States,1914.08.24,256,Outdoor,Grass,/en/scores/archive/us-open/560/1914/results,Richard Norris Williams,/en/players/richard-norris-williams/w830/overview,richard-norris-williams,w830,1914-560
