2017-451,Quarter-Finals,3,3,Tomas Berdych,ba47,tomas-berdych,Jo-Wilfried Tsonga,t786,jo-wilfried-tsonga,3,5,75 63,2,0,13,8,0,0,2017-451-ba47-t786,/en/scores/2017/451/MS005/match-stats?isLive=False
2017-451,Quarter-Finals,3,4,Fernando Verdasco,v306,fernando-verdasco,Ivo Karlovic,k336,ivo-karlovic,,6,62 75,2,0,13,7,0,0,2017-451-v306-k336,/en/scores/2017/451/MS006/match-stats?isLive=False
2017-451,Round of 16,4,1,Andy Murray,mc10,andy-murray,Gerald Melzer,mi43,gerald-melzer,1,,76(6) 75,2,0,14,11,1,0,2017-451-mc10-mi43,/en/scores/2017/451/MS008/match-stats?isLive=False
2017-451,Round of 16,4,2,Novak Djokovic,d643,novak-djokovic,Horacio Zeballos,z184,horacio-zeballos,2,,63 64,2,0,12,7,0,0,2017-451-d643-z184,/en/scores/2017/451/MS015/match-stats?isLive=False
2017-451,Round of 16,4,3,Tomas Berdych,ba47,tomas-berdych,Jiri Vesely,v708,jiri-vesely,3,,76(5) 16 61,2,1,14,13,1,0,2017-451-ba47-v708,/en/scores/2017/451/MS010/match-stats?isLive=False
2017-451,Round of 16,4,4,Fernando Verdasco,v306,fernando-verdasco,David Goffin,gb88,david-goffin,,4,61 76(6),2,0,13,7,1,0,2017-451-v306-gb88,/en/scores/2017/451/MS013/match-stats?isLive=False
2017-451,Round of 16,4,5,Jo-Wilfried Tsonga,t786,jo-wilfried-tsonga,Dustin Brown,ba65,dustin-brown,5,,61 63,2,0,12,4,0,0,2017-451-t786-ba65,/en/scores/2017/451/MS011/match-stats?isLive=False
2017-451,Round of 16,4,6,Ivo Karlovic,k336,ivo-karlovic,Karen Khachanov,ke29,karen-khachanov,6,,76(3) 76(3),2,0,14,12,2,0,2017-451-k336-ke29,/en/scores/2017/451/MS012/match-stats?isLive=False
2017-451,Round of 16,4,7,Nicolas Almagro,a479,nicolas-almagro,Philipp Kohlschreiber,k435,philipp-kohlschreiber,,7,76(5) 76(6),2,0,14,12,2,0,2017-451-a479-k435,/en/scores/2017/451/MS009/match-stats?isLive=False
2017-451,Round of 16,4,8,Radek Stepanek,s694,radek-stepanek,Arthur De Greef,d981,arthur-de-greef,Q,WC,63 62,2,0,12,5,0,0,2017-451-s694-d981,/en/scores/2017/451/MS014/match-stats?isLive=False
